"genera","n"
"Hieracium",416
"Limonium",121
"Centaurea",72
"Karpatiosorbus",46
"Ranunculus",42
"Taraxacum",40
"Silene",28
"Aria",22
"Astragalus",22
"Sideritis",22
"Helianthemum",20
"Armeria",19
"Allium",18
"Hedlundia",18
"Campanula",16
"Cheirolophus",15
"Lotus",15
"Alyssum",13
"Anthemis",13
"Dianthus",13
"Viola",12
"Argyranthemum",11
"Crambe",11
"Crepis",11
"Erysimum",11
"Sonchus",11
"Euphorbia",10
"Genista",10
"Rubus",10
"Senecio",10
"Alchemilla",9
"Asperula",9
"Convolvulus",9
"Echium",9
"Euphrasia",9
"Pinguicula",9
"Saxifraga",9
"Verbascum",9
"Aquilegia",8
"Arenaria",8
"Bupleurum",8
"Erodium",8
"Linaria",8
"Potentilla",8
"Aeonium",7
"Draba",7
"Fritillaria",7
"Helichrysum",7
"Narcissus",7
"Antirrhinum",6
"Biscutella",6
"Clinopodium",6
"Festuca",6
"Galium",6
"Hippocrepis",6
"Hypericum",6
"Micromeria",6
"Normeyera",6
"Scilla",6
"Teucrium",6
"Thymus",6
"Carduus",5
"Cerastium",5
"Cistus",5
"Crocus",5
"Gonospermum",5
"Hormathophylla",5
"Parolinia",5
"Pilosella",5
"Salvia",5
"Seseli",5
"Aichryson",4
"Artemisia",4
"Bromus",4
"Delphinium",4
"Epipactis",4
"Klasea",4
"Leucanthemum",4
"Ononis",4
"Petrocoptis",4
"Plantago",4
"Romulea",4
"Santolina",4
"Sorbus",4
"Thesium",4
"Tulipa",4
"Vicia",4
"Achillea",3
"Acis",3
"Aethionema",3
"Alkanna",3
"Anchusa",3
"Arabis",3
"Aristolochia",3
"Bellevalia",3
"Bencomia",3
"Brassica",3
"Cardamine",3
"Carex",3
"Centranthus",3
"Cherleria",3
"Cirsium",3
"Colchicum",3
"Daphne",3
"Edraianthus",3
"Eryngium",3
"Ferula",3
"Geranium",3
"Isoetes",3
"Knautia",3
"Monanthes",3
"Onobrychis",3
"Onosma",3
"Origanum",3
"Orobanche",3
"Pericallis",3
"Pimpinella",3
"Poa",3
"Primula",3
"Rhamnus",3
"Ruta",3
"Scrophularia",3
"Succisella",3
"Thymelaea",3
"Tragopogon",3
"Vella",3
"Acantholimon",2
"Amphoricarpos",2
"Androcymbium",2
"Athamanta",2
"Atractylis",2
"Aubrieta",2
"Bellium",2
"Bystropogon",2
"Chaerophyllum",2
"Chamaecytisus",2
"Cochlearia",2
"Cynoglossum",2
"Cytisus",2
"Descurainia",2
"Digitalis",2
"Dioscorea",2
"Dryopteris",2
"Ferulago",2
"Gagea",2
"Globularia",2
"Gymnadenia",2
"Helictochloa",2
"Iberis",2
"Iberodes",2
"Isatis",2
"Jurinea",2
"Lactuca",2
"Lathyrus",2
"Linum",2
"Lomelosia",2
"Majovskya",2
"Malva",2
"Melica",2
"Moehringia",2
"Muscari",2
"Myosotis",2
"Nepeta",2
"Noccaea",2
"Odontites",2
"Oxytropis",2
"Phlomis",2
"Polygala",2
"Rhaponticum",2
"Salix",2
"Sedum",2
"Solanum",2
"Solenopsis",2
"Spergula",2
"Stipa",2
"Tolpis",2
"Ulex",2
"Veronica",2
"Abies",1
"Achyrophorus",1
"Adenocarpus",1
"Adonis",1
"Agrostis",1
"Anagyris",1
"Androsace",1
"Andryala",1
"Antennaria",1
"Anthyllis",1
"Arabidopsis",1
"Arrhenatherum",1
"Arum",1
"Asparagus",1
"Asplenium",1
"Asyneuma",1
"Atriplex",1
"Avellara",1
"Avena",1
"Barbarea",1
"Bellis",1
"Bethencourtia",1
"Betonica",1
"Betula",1
"Bituminaria",1
"Borago",1
"Bornmuellera",1
"Brimeura",1
"Bubon",1
"Callianthemum",1
"Camptoloma",1
"Carduncellus",1
"Castrilanthemum",1
"Centaurium",1
"Cephalanthera",1
"Cephalaria",1
"Cicer",1
"Clematis",1
"Clypeola",1
"Coincya",1
"Corispermum",1
"Corydalis",1
"Cotoneaster",1
"Cryptotaenia",1
"Cuscuta",1
"Cyathoselinum",1
"Cynara",1
"Cyperus",1
"Danthoniastrum",1
"Daucus",1
"Degenia",1
"Dendriopoterium",1
"Dichoropetalum",1
"Diplotaxis",1
"Dracaena",1
"Drymocallis",1
"Elatine",1
"Eokochia",1
"Eremogone",1
"Erigeron",1
"Erucastrum",1
"Femeniasia",1
"Festucopsis",1
"Filago",1
"Fumana",1
"Gaudinia",1
"Gentiana",1
"Gesnouinia",1
"Glandora",1
"Goniolimon",1
"Graecobolanthus",1
"Gypsophila",1
"Gyrocaryum",1
"Hedysarum",1
"Helosciadium",1
"Heptaptera",1
"Herniaria",1
"Hesperis",1
"Himantoglossum",1
"Holcus",1
"Hyacinthella",1
"Hyacinthoides",1
"Hypochaeris",1
"Iris",1
"Ixanthus",1
"Jasione",1
"Kickxia",1
"Lamyropsis",1
"Laserpitium",1
"Lavandula",1
"Leontodon",1
"Leopoldia",1
"Lepidium",1
"Ligusticum",1
"Lilium",1
"Logfia",1
"Lolium",1
"Lonicera",1
"Lunaria",1
"Lupinus",1
"Lysimachia",1
"Marcetella",1
"Marrubium",1
"Mcneillia",1
"Medicago",1
"Myriolimon",1
"Naufraga",1
"Onopordum",1
"Ornithogalum",1
"Paeonia",1
"Pedicularis",1
"Petagnaea",1
"Petasites",1
"Petroana",1
"Peucedanum",1
"Phitosia",1
"Phyllis",1
"Phyteuma",1
"Pleiomeris",1
"Pleudia",1
"Polygaloides",1
"Prometheum",1
"Prunus",1
"Pseudomisopates",1
"Pseudoscabiosa",1
"Pterocephalus",1
"Ptilostemon",1
"Ptychotis",1
"Pyrus",1
"Quercus",1
"Ramonda",1
"Reichardia",1
"Reseda",1
"Rhaponticoides",1
"Rhinanthus",1
"Rhizobotrya",1
"Rhodanthemum",1
"Ribes",1
"Rivasgodaya",1
"Rorippa",1
"Rothmaleria",1
"Rutheopsis",1
"Salsola",1
"Sanguisorba",1
"Saponaria",1
"Sarcocapnos",1
"Saussurea",1
"Scabiosa",1
"Schizogyne",1
"Scleranthus",1
"Scorzonera",1
"Scorzoneroides",1
"Semele",1
"Sempervivum",1
"Siculosciadium",1
"Sideroxylon",1
"Sisymbrella",1
"Sisymbrium",1
"Soldanella",1
"Solidago",1
"Sporobolus",1
"Stachys",1
"Suaeda",1
"Succisa",1
"Symphytum",1
"Tanacetum",1
"Teline",1
"Tephroseris",1
"Thalictrum",1
"Thlaspi",1
"Thymbra",1
"Tripolium",1
"Trisetum",1
"Trommsdorffia",1
"Urtica",1
"Valantia",1
"Vincetoxicum",1
"Viscaria",1
"Visnaga",1
"Volutaria",1
"Wulfenia",1
"Zelkova",1
